baseline=agentic_codex_qa_txt  model=gpt54mini  questions=12  docs=50
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   '2'  in=42421  lat=6.6s
  ✗ 32024020NOPV_PCP PCO_06132024_(21-199489)               '7'  in=112865  lat=15.9s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               '4'  in=79779  lat=13.1s
  ✗ 32024028NOPV_PCO_12302024_(22-235481)                   '5'  in=143048  lat=17.7s
  ✓ 32024030NOPV_PCO_06032024_(23-264637)                   '2'  in=56823  lat=5.2s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   '2'  in=169365  lat=13.2s
  ✗ 32024036NOPV_PCP PCO_06282024_(23-264742)               '5'  in=44508  lat=5.4s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               '2'  in=57962  lat=6.5s
  ✗ 32024040NOPV_PCP PCO_09062024_(23-264452)               '3'  in=95473  lat=17.3s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   '2'  in=110208  lat=9.0s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               '4'  in=57453  lat=5.9s
  ✗ 32024045NOPV_PCP PCO_05102024_(23-264643)               '2'  in=132842  lat=13.0s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               '3'  in=57449  lat=9.2s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               '3'  in=44405  lat=6.5s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               '2'  in=57410  lat=5.3s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   '2'  in=56638  lat=4.4s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   '2'  in=43277  lat=6.3s
  ✗ 32024056NOPV_PCP PCO_10252024_(23-264602)               '7'  in=94930  lat=17.8s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   '2'  in=110518  lat=12.8s
  ✗ 32024062NOPV_PCP PCO_11212024_(23-266139)               '1'  in=43066  lat=5.4s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               '2'  in=57106  lat=4.9s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               '2'  in=127575  lat=11.7s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               '2'  in=57004  lat=4.7s
  ✗ 32025003NOPV_PCP PCO_01162025_(23-264381)               '5'  in=97389  lat=14.6s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   '4'  in=57783  lat=6.8s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               '2'  in=81060  lat=7.2s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               '5'  in=93670  lat=9.2s
  ✗ 32025008NOPV_PCP PCO_06162025_(23-264835)               '2'  in=80064  lat=12.6s
  ✗ 32025022NOPV_PCO_07182025_(24-297198)                   '6'  in=83024  lat=13.6s

Question: How many distinct corrective action items are listed in the Proposed C
  accuracy=0.70 (35/50)  avg_in=84739  avg_lat=9.9s

  ✗ 32022062NOPV_PCO_09142022_(21-202559)                   '90'  in=43314  lat=6.9s
  ✓ 32022069NOPV_PCO_11292022_(22-233904)                   '180'  in=83887  lat=8.4s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               '90'  in=56996  lat=5.5s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               '360'  in=93325  lat=7.7s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               '90'  in=76613  lat=10.3s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               '180'  in=92165  lat=8.4s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               '180'  in=89733  lat=8.4s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               '120'  in=81044  lat=9.8s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               '90'  in=95442  lat=9.6s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               '180'  in=92149  lat=10.1s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               '150'  in=93479  lat=7.6s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               '365'  in=142619  lat=18.6s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               '120'  in=96460  lat=9.4s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   '270'  in=84496  lat=7.8s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   '60'  in=141318  lat=14.7s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               '120'  in=120518  lat=11.4s
  ✗ 32024007NOPV_PCO_01182024_(22-234928)                   '90'  in=127449  lat=14.7s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               '60'  in=96760  lat=13.2s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   '360'  in=56837  lat=4.7s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               '360'  in=111493  lat=7.7s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   '180'  in=55741  lat=4.8s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   '180'  in=110935  lat=16.0s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               '120'  in=131449  lat=14.3s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               '90'  in=131296  lat=11.7s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   '270'  in=111548  lat=9.4s
  ✓ 32024030NOPV_PCO_06032024_(23-264637)                   '120'  in=72579  lat=7.5s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   '180'  in=42839  lat=5.6s
  ✓ 32024036NOPV_PCP PCO_06282024_(23-264742)               '90'  in=141322  lat=10.6s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               '90'  in=140927  lat=10.7s
  ✓ 32024040NOPV_PCP PCO_09062024_(23-264452)               '180'  in=82588  lat=8.3s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   '60'  in=72038  lat=8.6s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               '120'  in=43793  lat=5.3s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               '120'  in=94528  lat=12.8s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               '180'  in=111152  lat=14.3s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               '90'  in=111250  lat=10.1s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               '30'  in=57458  lat=4.9s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   '60'  in=90699  lat=7.9s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   '180'  in=56471  lat=5.1s
  ✓ 32024056NOPV_PCP PCO_10252024_(23-264602)               '365'  in=79830  lat=9.9s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   '120'  in=56539  lat=7.0s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               '90'  in=56296  lat=5.3s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               '180'  in=57159  lat=5.3s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               '90'  in=57148  lat=5.1s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               '270'  in=57049  lat=4.8s
  ✓ 32025003NOPV_PCP PCO_01162025_(23-264381)               '365'  in=93627  lat=8.6s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   '180'  in=57795  lat=5.0s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               '60'  in=94461  lat=7.4s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               '90'  in=135892  lat=10.1s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               '120'  in=111350  lat=8.3s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   '210'  in=96600  lat=9.4s

Question: What is the longest deadline (in days, measured from the Final Order's
  accuracy=0.96 (48/50)  avg_in=89769  avg_lat=9.0s

  ✗ 32022062NOPV_PCO_09142022_(21-202559)                   'Director, Central Region, Office of Pipeline Safety'  in=43235  lat=7.3s
  ✓ 32022069NOPV_PCO_11292022_(22-233904)                   'Gregory A. Ochs, Director, Central Region'  in=179897  lat=16.7s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               'Gregory A. Ochs'  in=56989  lat=6.2s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               'Gregory A. Ochs'  in=44535  lat=5.9s
  ✗ 32023006NOPV_PCP PCO_05042023_(22-235672)               'Director, Central Region, Office of Pipeline Safety'  in=43558  lat=5.2s
  ✗ 32023008NOPV_PCP PCO_06022023_(21-207275)               'Director of the issuing office'  in=89545  lat=7.3s
  ✗ 32023011NOPV_PCP PCO_09122023_(22-233376)               'Gregory A. Ochs'  in=377647  lat=32.5s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               'Gregory A. Ochs, Director, Central Region, Office of Pipeline Safety'  in=122023  lat=18.8s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               'Gregory A. Ochs'  in=122476  lat=13.8s
  ✗ 32023020NOPV_PCP PCO_08112023_(22-237273)               'Director of the issuing office'  in=127776  lat=17.6s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               'Gregory A. Ochs, Director, Central Region, Office of Pipeline Safety'  in=79798  lat=7.6s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               'Gregory A. Ochs, Director, Central Region, Office of Pipeline Safety'  in=118757  lat=16.3s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               'Gregory A. Ochs, Director, Central Region, Office of Pipeline Safety'  in=110958  lat=9.7s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   'Gregory A. Ochs'  in=86502  lat=9.9s
  ✗ 32024001NOPV_PCO_12192024_(24-297350)                   'Director, Central Region, Office of Pipeline Safety'  in=110998  lat=9.3s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               'Gregory A. Ochs, Director, Central Region, Office of Pipeline Safety'  in=92542  lat=9.2s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   'Gregory A. Ochs'  in=56979  lat=5.7s
  ✗ 32024008NOPV_PCP PCO_10252024_(22-237074)               'Director, Central Region, Office of Pipeline Safety'  in=55271  lat=5.4s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   'Gregory A. Ochs'  in=71499  lat=12.7s
  ✗ 32024012NOPV_PCP PCO_02062024_(23-264235)               'Director, Central Region, Office of Pipeline Safety'  in=57611  lat=10.8s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   'Gregory A. Ochs'  in=55743  lat=5.4s
  ✗ 32024019NOPV_PCO_03042024_(22-233359)                   'Director, Central Region, Office of Pipeline Safety'  in=55607  lat=8.4s
  ✗ 32024020NOPV_PCP PCO_06132024_(21-199489)               'Director of the issuing office'  in=129850  lat=10.2s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               'Gregory A. Ochs'  in=44793  lat=5.4s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   'Gregory A. Ochs'  in=56664  lat=8.1s
  ✓ 32024030NOPV_PCO_06032024_(23-264637)                   'Gregory A. Ochs, Director, Central Region'  in=192331  lat=20.3s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   'Gregory A. Ochs, Director, Central Region, Office of Pipeline Safety'  in=111367  lat=15.1s
  ✗ 32024036NOPV_PCP PCO_06282024_(23-264742)               'NOT_FOUND'  in=371359  lat=47.7s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               'Gregory A. Ochs'  in=111275  lat=9.6s
  ✗ 32024040NOPV_PCP PCO_09062024_(23-264452)               'Regional Director'  in=95546  lat=7.2s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   'Gregory A. Ochs'  in=56424  lat=7.7s
  ✗ 32024044NOPV_PCP PCO_04182024_(23-265891)               'Director of the issuing office'  in=57468  lat=5.7s
  ✗ 32024045NOPV_PCP PCO_05102024_(23-264643)               'Director, Central Region, Office of Pipeline Safety'  in=58066  lat=5.3s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               'Gregory A. Ochs, Director, Central Region, Office of Pipeline Safety'  in=71833  lat=9.0s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               'Gregory A. Ochs'  in=57595  lat=9.0s
  ✗ 32024052NOPV_PCP PCO_07032024_(24-305436)               'Director, Central Region, Office of Pipeline Safety'  in=110858  lat=11.3s
  ✗ 32024053NOPV_PCO_12122024_(22-233381)                   'Director, Central Region, Office of Pipeline Safety'  in=56643  lat=6.3s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   'Gregory A. Ochs'  in=43263  lat=6.8s
  ✓ 32024056NOPV_PCP PCO_10252024_(23-264602)               'Gregory A. Ochs, Director, Central Region, Office of Pipeline Safety'  in=92057  lat=7.4s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   'Gregory A. Ochs, Director, Central Region, Office of Pipeline Safety'  in=56507  lat=7.8s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               'Gregory A. Ochs'  in=111147  lat=10.3s
  ✗ 32024066NOPV_PCP PCO_08222024_(23-282184)               'Director, Central Region, Office of Pipeline Safety'  in=57124  lat=5.0s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               'Gregory A. Ochs, Director, Central Region, Office of Pipeline Safety'  in=43937  lat=7.0s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               'Gregory A. Ochs, Director, Central Region, Office of Pipeline Safety'  in=70261  lat=11.7s
  ✗ 32025003NOPV_PCP PCO_01162025_(23-264381)               'Director of the issuing office'  in=324880  lat=27.0s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   'Gregory A. Ochs, Director, Central Region, Office of Pipeline Safety'  in=44606  lat=5.9s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               'David Barrett, Acting Director, Central Region, Office of Pipeline Safety'  in=58251  lat=5.8s
  ✗ 32025007NOPV_PCP PCO_06252025_(23-264832)               'Director of the issuing office'  in=128246  lat=14.4s
  ✗ 32025008NOPV_PCP PCO_06162025_(23-264835)               'Director of the issuing office'  in=70822  lat=11.0s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   'David Barrett'  in=105649  lat=9.4s

Question: Who signed this Notice on behalf of PHMSA (Regional Director or Direct
  accuracy=0.60 (30/50)  avg_in=98975  avg_lat=11.0s


============================================================
  mean accuracy : 0.8617
  mean in-tokens: 97135
  mean latency  : 10.3s
  results in    : /mnt/data/LSF/baseline_results/nopv/agentic_codex_qa_gpt54mini/second_50/
