baseline=agentic_codex_qa_txt  model=gpt54  questions=12  docs=50
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               '3'  in=100592  lat=14.7s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               '3'  in=59201  lat=7.9s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               '3'  in=59339  lat=8.1s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               '2'  in=145143  lat=19.2s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   '2'  in=58406  lat=11.0s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   '2'  in=113877  lat=12.1s
  ✗ 32024056NOPV_PCP PCO_10252024_(23-264602)               '4'  in=101698  lat=24.3s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   '2'  in=44540  lat=10.8s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               '2'  in=116241  lat=20.1s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               '2'  in=58854  lat=7.1s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               '2'  in=58948  lat=14.1s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               '2'  in=58812  lat=10.1s
  ✗ 32025003NOPV_PCP PCO_01162025_(23-264381)               '5'  in=121103  lat=19.9s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   '4'  in=106186  lat=17.1s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               '2'  in=87077  lat=16.0s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               '5'  in=119051  lat=16.4s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               '3'  in=133937  lat=23.1s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   '5'  in=197506  lat=24.4s

Question: How many distinct corrective action items are listed in the Proposed C
  accuracy=0.90 (45/50)  avg_in=105108  avg_lat=15.4s

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   '120'  in=44547  lat=11.5s
  ✓ 32022069NOPV_PCO_11292022_(22-233904)                   '180'  in=73153  lat=17.0s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               '90'  in=132149  lat=16.1s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               '360'  in=116428  lat=17.2s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               '90'  in=87962  lat=11.0s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               '180 days'  in=75981  lat=12.0s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               '180 days'  in=92605  lat=15.0s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               '120 days'  in=126381  lat=16.0s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               '90 days'  in=102541  lat=12.5s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               '180 days'  in=95081  lat=13.7s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               '150 days'  in=110713  lat=19.3s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               '365'  in=134729  lat=18.3s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               '120 days'  in=134543  lat=16.7s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   '270 days'  in=87326  lat=10.5s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   '60'  in=57638  lat=34.6s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               '120 days'  in=165139  lat=15.9s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   '120 days'  in=88805  lat=14.4s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               '60 days'  in=153200  lat=21.4s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   '360 days'  in=44957  lat=7.5s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               '360 days'  in=94837  lat=11.2s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   '180'  in=57532  lat=8.7s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   '180'  in=57443  lat=8.7s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               '120'  in=145788  lat=16.1s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               '90 days'  in=125963  lat=14.8s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   '270 days'  in=75110  lat=13.4s
  ✓ 32024030NOPV_PCO_06032024_(23-264637)                   '120'  in=92593  lat=10.3s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   '180 days'  in=114941  lat=13.7s
  ✓ 32024036NOPV_PCP PCO_06282024_(23-264742)               '90 days'  in=59637  lat=9.7s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               '90 days'  in=147336  lat=19.3s
  ✓ 32024040NOPV_PCP PCO_09062024_(23-264452)               '180 days'  in=70716  lat=15.1s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   '60'  in=58168  lat=7.1s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               '120'  in=133259  lat=17.3s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               '120 days'  in=102982  lat=15.6s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               '180 days'  in=115458  lat=14.9s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               '90 days'  in=59585  lat=8.7s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               '30'  in=81590  lat=14.8s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   '60'  in=58445  lat=11.1s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   '180 days'  in=131771  lat=19.1s
  ✓ 32024056NOPV_PCP PCO_10252024_(23-264602)               '365 days'  in=82484  lat=11.7s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   '120'  in=255158  lat=47.8s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               '90 days'  in=162797  lat=19.3s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               '180 days'  in=88566  lat=10.8s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               '90'  in=58900  lat=8.3s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               '270 days'  in=58796  lat=8.2s
  ✓ 32025003NOPV_PCP PCO_01162025_(23-264381)               '365 days'  in=126239  lat=13.0s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   '180 days'  in=59861  lat=9.9s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               '60'  in=98955  lat=11.9s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               '90'  in=125813  lat=24.1s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               '120'  in=96707  lat=15.9s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   '210'  in=85939  lat=15.8s

Question: What is the longest deadline (in days, measured from the Final Order's
  accuracy=1.00 (50/50)  avg_in=100145  avg_lat=14.9s

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   'Gregory A. Ochs'  in=85868  lat=12.6s
  ✗ 32022069NOPV_PCO_11292022_(22-233904)                   'NOT_FOUND'  in=138414  lat=24.3s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               'Gregory A. Ochs'  in=57990  lat=14.9s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               'Gregory A. Ochs'  in=90378  lat=17.9s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               'Gregory A. Ochs'  in=57283  lat=12.0s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               'Gregory A. Ochs'  in=115593  lat=11.3s
  ✗ 32023011NOPV_PCP PCO_09122023_(22-233376)               'NOT_FOUND'  in=117453  lat=22.1s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               'Gregory A. Ochs'  in=129123  lat=15.5s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               'Gregory A. Ochs'  in=131755  lat=18.2s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               'Gregory A. Ochs'  in=57114  lat=8.0s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               'Gregory A. Ochs'  in=115800  lat=15.9s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               'Gregory A. Ochs'  in=115242  lat=14.9s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               'Gregory A. Ochs'  in=124095  lat=14.6s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   'Gregory A. Ochs'  in=101303  lat=12.3s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   'Gregory Ochs'  in=57269  lat=7.5s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               'Gregory A. Ochs'  in=114379  lat=17.4s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   'Gregory A. Ochs'  in=72856  lat=12.2s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               'Gregory A. Ochs'  in=57079  lat=8.5s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   'Gregory A. Ochs'  in=114456  lat=11.1s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               'Gregory A. Ochs'  in=57075  lat=7.9s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   'Gregory A. Ochs'  in=114394  lat=10.8s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   'Gregory A. Ochs'  in=43437  lat=10.4s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               'Gregory A. Ochs'  in=115432  lat=18.9s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               'Gregory A. Ochs'  in=57021  lat=12.6s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   'Gregory A. Ochs'  in=114401  lat=12.8s
  ✗ 32024030NOPV_PCO_06032024_(23-264637)                   'NOT_FOUND'  in=174922  lat=25.7s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   'Gregory A. Ochs'  in=114893  lat=14.8s
  ✗ 32024036NOPV_PCP PCO_06282024_(23-264742)               'Gregory A. Ochs'  in=175229  lat=25.4s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               'Gregory A. Ochs'  in=114277  lat=12.3s
  ✓ 32024040NOPV_PCP PCO_09062024_(23-264452)               'Gregory A. Ochs'  in=72990  lat=11.2s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   'Gregory A. Ochs'  in=57078  lat=7.3s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               'Gregory A. Ochs'  in=43065  lat=6.9s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               'Gregory A. Ochs'  in=114829  lat=11.1s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               'Gregory A. Ochs'  in=57102  lat=10.0s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               'Gregory A. Ochs'  in=114192  lat=13.2s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               'Gregory A. Ochs'  in=114949  lat=12.2s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   'Gregory A. Ochs'  in=57143  lat=9.3s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   'Gregory A. Ochs'  in=101809  lat=11.2s
  ✓ 32024056NOPV_PCP PCO_10252024_(23-264602)               'Gregory A. Ochs'  in=74996  lat=11.5s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   'Gregory A. Ochs'  in=114791  lat=11.2s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               'Gregory A. Ochs'  in=100614  lat=13.4s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               'Gregory A. Ochs'  in=57028  lat=7.6s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               'Gregory A. Ochs'  in=57336  lat=8.9s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               'Gregory A. Ochs'  in=114929  lat=11.4s
  ✓ 32025003NOPV_PCP PCO_01162025_(23-264381)               'Gregory A. Ochs'  in=228760  lat=34.8s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   'Gregory A. Ochs'  in=57002  lat=9.3s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               'David Barrett'  in=114252  lat=15.0s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               'David Barrett'  in=115555  lat=12.2s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               'David Barrett'  in=57373  lat=10.0s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   'David Barrett'  in=129290  lat=16.0s

Question: Who signed this Notice on behalf of PHMSA (Regional Director or Direct
  accuracy=0.92 (46/50)  avg_in=97792  avg_lat=13.5s


============================================================
  mean accuracy : 0.9200
  mean in-tokens: 108814
  mean latency  : 15.0s
  results in    : /mnt/data/LSF/baseline_results/nopv/agentic_codex_qa_gpt54/second_50/
