baseline=agentic_codex_qa_txt  model=gpt54mini  questions=12  docs=50
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     '4'  in=95335  lat=7.3s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               '2'  in=56919  lat=5.9s
  ✗ 32021043NOPV_PCP PCO_12072021_(20-179274)               '10'  in=123938  lat=14.3s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               '3'  in=85719  lat=9.0s
  ✗ 32021046NOPV_PCP PCO_11232021_(20-172259)               '2'  in=115138  lat=12.2s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               '8'  in=130119  lat=14.6s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               '9'  in=97695  lat=13.3s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               '3'  in=110477  lat=16.3s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               '4'  in=57421  lat=6.2s
  ✗ 32021080NOPV_PCP PCO_12222021_(21-199715)               '3'  in=93751  lat=13.3s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   '4'  in=111067  lat=12.1s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               '4'  in=56676  lat=7.1s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   '2'  in=56126  lat=9.5s
  ✗ 32021089NOPV_PCP PCO_11302021_(21-210502)               '4'  in=56963  lat=8.2s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               '3'  in=56382  lat=6.9s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               '4'  in=111139  lat=10.4s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   '2'  in=56512  lat=6.5s
  ✗ 32022017NOPV_PCP PCO_01112022_(21-210504)               '3'  in=94038  lat=16.6s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               '3'  in=95200  lat=7.1s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   '2'  in=56022  lat=4.9s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               '3'  in=56655  lat=7.2s
  ✗ 32022026NOPV_PCP PCO_05052022_(20-173062)               '10'  in=142432  lat=18.9s
  ✗ 32022033NOPV_PCP PCO_03172022_(21-203212)               '2'  in=57134  lat=7.7s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               '4'  in=57322  lat=5.9s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   '2'  in=88927  lat=10.1s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               '3'  in=97163  lat=9.6s
  ✗ 32022047NOPV_PCP PCO_05122022_(21-201425)               '4'  in=97362  lat=9.5s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               '4'  in=93254  lat=12.4s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               '5'  in=97338  lat=10.7s
  ✗ 32022055NOPV_PCO_11082022_(21-209703)                   '7'  in=56122  lat=8.0s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               '5'  in=111291  lat=15.8s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     '4'  in=94351  lat=8.2s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               '3'  in=92978  lat=8.4s

Question: How many distinct corrective action items are listed in the Proposed C
  accuracy=0.68 (34/50)  avg_in=87714  avg_lat=9.9s

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   '180'  in=57535  lat=6.4s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   '365'  in=94478  lat=9.7s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   '270'  in=56671  lat=5.5s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   '90'  in=97527  lat=9.9s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   '30'  in=140934  lat=11.2s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   '90'  in=97140  lat=10.4s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   '90'  in=56121  lat=5.8s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   '120'  in=111481  lat=11.3s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   '90'  in=94500  lat=8.9s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   '60'  in=57157  lat=6.5s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   '270'  in=123364  lat=9.9s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   '180'  in=111077  lat=9.7s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  '365'  in=56670  lat=5.2s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   '90'  in=171719  lat=14.5s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   '180'  in=85068  lat=9.5s
  ✗ 22023013NOPV_PCP PCO_11162023_(21-224433)               '90'  in=113927  lat=15.3s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               '90'  in=94599  lat=9.7s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     '90'  in=95776  lat=13.0s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               '180'  in=141127  lat=13.4s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               '365'  in=111690  lat=17.9s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               '60'  in=128355  lat=16.2s
  ✓ 32021046NOPV_PCP PCO_11232021_(20-172259)               '60'  in=167717  lat=13.5s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               '180'  in=77849  lat=11.8s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               '180'  in=113386  lat=11.7s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               '180'  in=111254  lat=9.7s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               '90'  in=43727  lat=5.9s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               '90 days'  in=128154  lat=12.9s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   '120'  in=111245  lat=14.3s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               '90'  in=56703  lat=5.5s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   '365'  in=117932  lat=14.2s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               '365'  in=91151  lat=10.2s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               '180'  in=56401  lat=5.3s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               '180'  in=111786  lat=14.1s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   '90'  in=111429  lat=12.9s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               '90'  in=80968  lat=9.7s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               '365'  in=94918  lat=8.0s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   '730'  in=56074  lat=4.9s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               '180'  in=111372  lat=12.9s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               '180'  in=159441  lat=12.8s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               '90'  in=57194  lat=4.8s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               '180'  in=57358  lat=5.7s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   '180'  in=75305  lat=10.1s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               '90'  in=44347  lat=8.4s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               '180'  in=95193  lat=10.5s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               '90'  in=141089  lat=13.4s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               '120'  in=92861  lat=9.1s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   '90'  in=56207  lat=5.0s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               '90'  in=127749  lat=10.2s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     '120'  in=94490  lat=12.3s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               '180'  in=93479  lat=7.4s

Question: What is the longest deadline (in days, measured from the Final Order's
  accuracy=0.98 (49/50)  avg_in=96674  avg_lat=10.1s

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   'Robert Burrough'  in=114255  lat=11.8s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   'Robert Burrough, Director, Eastern Region, Office of Pipeline Safety'  in=94642  lat=13.4s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   'Robert Burrough, Director, Eastern Region, Office of Pipeline Safety'  in=111231  lat=9.9s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   'Robert Burrough'  in=111590  lat=10.4s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   'Robert Burrough, Director, Eastern Region, Office of Pipeline Safety'  in=56705  lat=7.0s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   'Robert Burrough'  in=79198  lat=9.7s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   'Robert Burrough'  in=56582  lat=6.8s
  ✗ 12026002NOPV_PCO_01232026_(24-295891)                   'Director, Eastern Region, Office of Pipeline Safety'  in=56514  lat=5.3s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   'Robert Burrough'  in=44776  lat=6.1s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   'Robert Burrough'  in=57113  lat=6.7s
  ✗ 12026015NOPV_PCO_02122026_(24-296051)                   'Director, Eastern Region, Office of Pipeline Safety'  in=92270  lat=8.5s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   'Robert Burrough'  in=110736  lat=8.7s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  'Robert Burrough'  in=56587  lat=5.0s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   'James A. Urisko'  in=55380  lat=7.1s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   'James A. Urisko, Director, Southern Region'  in=157459  lat=13.4s
  ✗ 22023013NOPV_PCP PCO_11162023_(21-224433)               'Director, Southern Region, Office of Pipeline Safety'  in=171185  lat=13.7s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               'James A. Urisko, Director, Southern Region, Office of Pipeline Safety'  in=120628  lat=13.6s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     'James A. Urisko, Director, Southern Region, Office of Pipeline Safety'  in=55557  lat=9.0s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               'Gregory A. Ochs, Director, Central Region'  in=56968  lat=6.7s
  ✗ 32021043NOPV_PCP PCO_12072021_(20-179274)               'Regional Director'  in=109511  lat=14.7s
  ✗ 32021045NOPV_PCP PCO_11052021_(20-172259)               'Director, Central Region, OPS'  in=56986  lat=8.0s
  ✗ 32021046NOPV_PCP PCO_11232021_(20-172259)               'Director, Central Region, OPS'  in=121547  lat=14.3s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               'Gregory A. Ochs'  in=123174  lat=12.6s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               'Gregory A. Ochs'  in=64415  lat=12.2s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               'Gregory A. Ochs, Director, Central Region, Office of Pipeline Safety'  in=57415  lat=6.7s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               'Gregory A. Ochs'  in=111621  lat=11.2s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               'Gregory A. Ochs'  in=55306  lat=8.2s
  ✗ 32021082NOPV_PCO_12012021_(20-172259)                   'Director, Central Region, OPS'  in=56450  lat=6.3s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               'Gregory A. Ochs, Director, Central Region, OPS'  in=56688  lat=7.0s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   'Gregory A. Ochs, Director, Central Region, OPS'  in=56125  lat=5.4s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               'Gregory A. Ochs'  in=118976  lat=15.3s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               'Gregory A. Ochs'  in=43184  lat=7.9s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               'Gregory A. Ochs, Director, Central Region, Office of Pipeline Safety'  in=57773  lat=6.7s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   'Gregory A. Ochs'  in=72843  lat=10.7s
  ✗ 32022017NOPV_PCP PCO_01112022_(21-210504)               'Director, Central Region, OPS'  in=93485  lat=7.5s
  ✗ 32022018NOPV_PCP PCO_01192022_(21-210993)               'Director, Central Region, OPS'  in=133483  lat=16.4s
  ✗ 32022024NOPV_PCO_03252022_(20-179518)                   'Director of the issuing office'  in=55534  lat=5.6s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               'Gregory A. Ochs'  in=56677  lat=5.4s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               'Gregory A. Ochs, Director, Central Region, Office of Pipeline Safety'  in=120373  lat=9.8s
  ✗ 32022033NOPV_PCP PCO_03172022_(21-203212)               'Regional Director'  in=86394  lat=8.6s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               'Gregory A. Ochs'  in=57348  lat=7.0s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   'Gregory A. Ochs'  in=111352  lat=12.9s
  ✗ 32022045NOPV_PCP PCO_04282022_(21-201001)               'Director, Central Region, Office of Pipeline Safety'  in=97691  lat=14.4s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               'Gregory A. Ochs'  in=41682  lat=6.7s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               'Gregory A. Ochs'  in=92758  lat=13.4s
  ✗ 32022053NOPV_PCP PCO_08222022_(21-210151)               'Director, Central Region, Office of Pipeline Safety'  in=92189  lat=11.6s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   'Gregory A. Ochs'  in=55420  lat=5.4s
  ✗ 32022056NOPV_PCP PCO_11082022_(21-209703)               'Director of the issuing office'  in=91476  lat=10.1s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     'Gregory A. Ochs, Director, Central Region'  in=111183  lat=11.3s
  ✗ 32022061NOPV_PCP PCO_12222022_(21-201318)               'Director, Central Region, Office of Pipeline Safety'  in=57846  lat=5.1s

Question: Who signed this Notice on behalf of PHMSA (Regional Director or Direct
  accuracy=0.70 (35/50)  avg_in=83526  avg_lat=9.4s


============================================================
  mean accuracy : 0.8983
  mean in-tokens: 86862
  mean latency  : 10.0s
  results in    : /mnt/data/LSF/baseline_results/nopv/agentic_codex_qa_gpt54mini/first_50/
