baseline=agentic_codex_qa_txt  model=gpt54  questions=12  docs=50
  ✗ 32021080NOPV_PCP PCO_12222021_(21-199715)               '3'  in=174815  lat=33.6s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   '4'  in=222350  lat=33.5s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               '4'  in=58474  lat=13.2s
  ✗ 32021088NOPV_PCO_11302021_(21-210503)                   '3'  in=162639  lat=28.9s
  ✗ 32021089NOPV_PCP PCO_11302021_(21-210502)               '4'  in=123902  lat=25.3s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               '3'  in=58361  lat=8.0s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               '4'  in=115276  lat=11.2s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   '2'  in=114357  lat=12.6s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               '4'  in=96316  lat=19.4s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               '3'  in=97473  lat=11.3s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   '2'  in=58039  lat=10.6s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               '3'  in=44724  lat=6.9s
  ✗ 32022026NOPV_PCP PCO_05052022_(20-173062)               '10'  in=169770  lat=32.1s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               '3'  in=87620  lat=11.1s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               '4'  in=147351  lat=14.7s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   '2'  in=91476  lat=14.1s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               '3'  in=59211  lat=7.5s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               '5'  in=97593  lat=12.1s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               '4'  in=95945  lat=10.8s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               '5'  in=123377  lat=16.3s
  ✗ 32022055NOPV_PCO_11082022_(21-209703)                   '6'  in=151315  lat=30.3s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               '5'  in=132736  lat=19.1s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     '4'  in=115327  lat=11.8s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               '3'  in=95724  lat=10.1s

Question: How many distinct corrective action items are listed in the Proposed C
  accuracy=0.82 (41/50)  avg_in=109793  avg_lat=16.0s

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   '180 days'  in=59303  lat=7.4s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   '365 days'  in=83918  lat=12.9s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   '270 days'  in=58365  lat=8.7s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   '90 days'  in=115326  lat=10.1s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   '30'  in=58707  lat=11.0s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   '90'  in=129525  lat=12.3s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   '90 days'  in=101006  lat=12.4s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   '120 days'  in=58291  lat=7.6s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   '90 days'  in=83801  lat=14.9s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   '60 days'  in=58945  lat=8.4s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   '270 days'  in=90062  lat=11.9s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   '180 days'  in=87693  lat=10.0s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  '365 days'  in=58451  lat=7.8s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   '90'  in=58305  lat=7.8s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   '180'  in=91830  lat=16.4s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               '120 days'  in=106434  lat=15.0s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               '90'  in=96999  lat=12.9s
  ✗ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     '120'  in=99214  lat=25.2s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               '180 days'  in=145862  lat=20.9s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               '365'  in=93420  lat=11.9s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               '60 days'  in=58773  lat=9.0s
  ✓ 32021046NOPV_PCP PCO_11232021_(20-172259)               '60 days'  in=146508  lat=16.8s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               '180 days'  in=119527  lat=15.6s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               '180 days'  in=136810  lat=17.8s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               '180 days'  in=131868  lat=20.7s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               '90 days'  in=59176  lat=8.4s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               '90'  in=94919  lat=13.8s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   '120'  in=87735  lat=11.7s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               '90'  in=58501  lat=10.5s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   '365'  in=57958  lat=13.0s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               '365'  in=133173  lat=17.1s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               '180 days'  in=145469  lat=14.8s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               '180'  in=95894  lat=17.9s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   '90'  in=74603  lat=17.3s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               '90'  in=96908  lat=11.7s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               '365 days'  in=97750  lat=11.5s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   '730 days'  in=44176  lat=9.4s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               '180 days'  in=87371  lat=10.3s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               '180 days'  in=130795  lat=16.1s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               '90'  in=58916  lat=7.6s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               '180'  in=59166  lat=7.9s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   '180 days'  in=110005  lat=16.4s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               '90'  in=59210  lat=8.3s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               '180'  in=99028  lat=14.8s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               '90 days'  in=96112  lat=11.2s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               '120 days'  in=95452  lat=12.5s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   '90 days'  in=57925  lat=8.9s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               '90 days'  in=95329  lat=13.4s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     '120'  in=97493  lat=11.8s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               '180 days'  in=125770  lat=14.0s

Question: What is the longest deadline (in days, measured from the Final Order's
  accuracy=0.98 (49/50)  avg_in=90956  avg_lat=12.7s

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   'Robert Burrough'  in=57048  lat=7.2s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   'Robert Burrough'  in=86150  lat=9.6s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   'Robert Burrough'  in=124066  lat=15.7s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   'Robert Burrough'  in=86433  lat=12.4s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   'Robert Burrough'  in=114779  lat=14.0s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   'Robert Burrough'  in=88360  lat=13.8s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   'Robert Burrough'  in=57063  lat=9.0s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   'Robert Burrough'  in=72346  lat=9.0s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   'Robert Burrough'  in=115347  lat=10.1s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   'Robert Burrough'  in=57153  lat=8.5s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   'Robert Burrough'  in=114779  lat=21.5s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   'Robert Burrough'  in=114193  lat=11.6s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  'Robert Burrough'  in=101098  lat=12.7s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   'James A. Urisko'  in=89434  lat=12.8s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   'James A. Urisko'  in=236150  lat=33.8s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               'James A. Urisko'  in=116311  lat=13.4s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               'James A. Urisko'  in=116447  lat=14.5s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     'James A. Urisko'  in=115225  lat=12.6s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               'Gregory A. Ochs'  in=115036  lat=12.5s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               'Gregory A. Ochs'  in=91177  lat=11.7s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               'Gregory A. Ochs'  in=114972  lat=12.4s
  ✓ 32021046NOPV_PCP PCO_11232021_(20-172259)               'Gregory A. Ochs'  in=114600  lat=17.3s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               'Gregory A. Ochs'  in=115001  lat=12.8s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               'Gregory A. Ochs'  in=126222  lat=13.7s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               'Gregory A. Ochs'  in=57028  lat=7.1s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               'Gregory A. Ochs'  in=57149  lat=10.7s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               'Gregory A. Ochs'  in=86323  lat=11.5s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   'Gregory A. Ochs'  in=57226  lat=7.8s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               'Gregory A. Ochs'  in=56906  lat=6.6s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   'Gregory A. Ochs'  in=43471  lat=8.6s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               'Gregory A. Ochs'  in=115589  lat=11.8s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               'Gregory A. Ochs'  in=57024  lat=7.5s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               'Gregory A. Ochs'  in=57735  lat=6.5s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   'Gregory A. Ochs'  in=29282  lat=9.9s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               'Gregory A. Ochs'  in=43365  lat=12.0s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               'Gregory A. Ochs'  in=124348  lat=16.2s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   'Gregory A. Ochs'  in=57163  lat=7.0s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               'Gregory A. Ochs'  in=57105  lat=7.6s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               'Gregory A. Ochs'  in=130305  lat=15.3s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               'Gregory A. Ochs'  in=88347  lat=16.1s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               'Gregory A. Ochs'  in=57117  lat=7.8s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   'Gregory A. Ochs'  in=57354  lat=8.3s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               'Gregory A. Ochs'  in=115144  lat=13.8s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               'Gregory A. Ochs'  in=57118  lat=8.0s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               'Gregory A. Ochs'  in=86361  lat=11.8s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               'Gregory A. Ochs'  in=115022  lat=18.2s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   'Gregory A. Ochs'  in=29304  lat=10.2s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               'Gregory A. Ochs'  in=86323  lat=12.9s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     'Gregory A. Ochs'  in=115425  lat=14.6s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               'Gregory A. Ochs'  in=114591  lat=12.1s

Question: Who signed this Notice on behalf of PHMSA (Regional Director or Direct
  accuracy=1.00 (50/50)  avg_in=89830  avg_lat=12.0s


============================================================
  mean accuracy : 0.9233
  mean in-tokens: 99759
  mean latency  : 14.0s
  results in    : /mnt/data/LSF/baseline_results/nopv/agentic_codex_qa_gpt54/first_50/
